每个时代都要编写它自己的历史。（　）,,选项 A ,,,,,,,
对天花病毒的征服始于1976年。（　）,,选项 B ,,,,,,,
目前，资本主义本身在占优势的种种市场经济中，以单一的形态出现。（　）,,选项 B ,,,,,,,
《全球通史》摒弃了西方传统的世界历史的阐释方法。（　）,,选项 A ,,,,,,,
《全球通史》打破地区和民族的界限，按照历史运动本身的空间来阐释历史。（　）,,选项 A ,,,,,,,
对过去的研究和描述，是现代人所取得的一项杰出成就。（　）,,选项 A ,,,,,,,
1994年4月奋进号航天飞机利用雷达成像技术发现了金字塔。（　）,,选项 B ,,,,,,,
地球形成于约40亿年以前。（　）,,选项 B ,,,,,,,
人类学家指出，对人类化石的研究证明，人类是由普通的类人猿进化而来的。（　）,,选项 A ,,,,,,,
人类祖先的演变发生在有6-7次大冰期和5-6次间冰期的更新世时代。（　）,,选项 A ,,,,,,,
人类是自然选择的产物，是从一系列人类的祖先即近似人形的原人进化而来的。（　）,,选项 A ,,,,,,,
最早出现的原人是北京人。（　）,,选项 B ,,,,,,,
“非洲起源”理论认为，最早的人类起源于非洲，然后从那里迁徙到亚洲、欧洲、美洲和澳洲。（　）,,选项 A ,,,,,,,
人类通过改变环境来适应自己的基因，而不再是改变自身的基因去适应环境。（　）,,选项 A ,,,,,,,
用骨头和象牙制的锥子、带眼的骨针等属于新石器时代的工具。（　）,,选项 B ,,,,,,,
在旧石器时代的几百万年中，男女之间的关系比此后的任何时候都更为平等。（　）,,选项 A ,,,,,,,
作为食物采集者的女性不但生育和抚养了小孩，而且还提供了大部分食品。（　）,,选项 A ,,,,,,,
在食物采集部落中男女不是平等的。（　）,,选项 B ,,,,,,,
大规模的战争直到有了农业、生产率大大提高、人口相应增多的时候才成为可能。（　）,,选项 A ,,,,,,,
旧石器时代的社会组织的实质是协作。（　）,,选项 A ,,,,,,,
人类学家近来关注史前祖先的日常食物，主要是因为他们所吃的东西对我们今天有借鉴意义。（　）,,选项 A ,,,,,,,
食物采集者乐意吃的食物数量很大，但这并不能保证他们的生活所需。（　）,,选项 B ,,,,,,,
原始人对自己和社会基本上抱着历史的、发展的态度。（　）,,选项 B ,,,,,,,
各狩猎民族的创世神话都惊人地相似。（　）,,选项 A ,,,,,,,
原始人的知识代代以口相传。（　）,,选项 A ,,,,,,,
早期人类对于自然界的情况知道的很多，不仅知其然，而且知其所以然。（　）,,选项 B ,,,,,,,
到旧石器时代初期，就出现了尚未完全脱离生产活动的巫医或巫师。（　）,,选项 B ,,,,,,,
原始人认为，在他们生活的天地里，食物最为重要。（　）,,选项 A ,,,,,,,
在旧石器时代，就产生了具有很大社会凝聚力的神学。（　）,,选项 B ,,,,,,,
在原始社会，宗教还没有被当做控制社会的一种工具。（　）,,选项 A ,,,,,,,
旧石器时代艺术的最杰出的代表是非凡的洞穴壁画。（　）,,选项 A ,,,,,,,
洞穴壁画多以人物为题材。（　）,,选项 B ,,,,,,,
原始人一般住在山洞的前端。（　）,,选项 A ,,,,,,,
在对付疾病方面，史前诸民族绝不是完全依赖于巫术。（　）,,选项 A ,,,,,,,
在旧石器时代的社会，人与人之间的关系完全平等。（　）,,选项 A ,,,,,,,
旧石器时代的社会抱成一团的亲属关系的结合力既给予人慰藉，又给人轻松感。（　）,,选项 B ,,,,,,,
在旧石器时代，不但不遵守部落传统的人会被杀掉，而且在食物短缺是，婴儿和身体虚弱的人也会被杀掉。（　）,,选项 A ,,,,,,,
农业革命使得获取更多的生活资料和养活更多的人成为可能。（　）,,选项 A ,,,,,,,
畜牧业在公元前1500年至公元前1000年间开始。（　）,,选项 A ,,,,,,,
欧亚大陆的每一文明的衰亡都是因其内乱削弱了自身的力量、进而由随时准备入侵的游牧民族促成的。（　）,,选项 A ,,,,,,,
农业革命最明显的影响是产生了定居这种新的生活方式。（　）,,选项 A ,,,,,,,
新石器时代的村落生活是非常浪漫化的。（　）,,选项 B ,,,,,,,
人类定居的生活方式使人们不能拥有更为丰富的生活资料。（　）,,选项 B ,,,,,,,
陶器出现在新石器时代。（　）,,选项 A ,,,,,,,
构成新石器时代的村社的社会基本单位是由若干对夫妻和他们的孩子组成的大家庭。（　）,,选项 A ,,,,,,,
到了新石器时代，人类才能够像发展制陶技术一样发展纺织技术。（　）,,选项 A ,,,,,,,
定居生活也使部落政治组织取代各游猎民族单独的群体成为可能。（　）,,选项 A ,,,,,,,
经济平等和社会地位相同，是新石器时代村社的明显特征。（　）,,选项 A ,,,,,,,
人口的增加导致了农业革命，而农业革命反过来又导致了更大规模的人口增长。（　）,,选项 A ,,,,,,,
人类一次一次的迁移使农业传播到全球各地。（　）,,选项 A ,,,,,,,
农业革命对种族的影响是，延续了长达数千年的种族平衡。（　）,,选项 B ,,,,,,,
历史记载表明，人类生来既不爱好和平，也不喜欢战争；既不倾向合作，也不倾向侵略。（ ）,,选项 A ,,,,,,,
历史给予我们的一个重要启示是，核战争是可以避免的。（　）,,选项 A ,,,,,,,
最早的文明之光出现在由底格里斯河和幼发拉底河这两条大河养育的荒原。（　）,,选项 A ,,,,,,,
人类最早期的文明摇篮是尼罗河流域。（　）,,选项 B ,,,,,,,
人们学会用熔炼的方法从矿石中提炼金属时，才开始有了真正的冶金技术。（　）,,选项 A ,,,,,,,
在人类早期文明中，用青铜制造武器特别受欢迎，青铜并不昂贵。（　）,,选项 B ,,,,,,,
到公元前4000年时，犁才开始在美索不达米亚和埃及得到普遍使用。（　）,,选项 B ,,,,,,,
犁是蒸汽机、内燃机、发电机和核分裂反应堆的先驱。（　）,,选项 A ,,,,,,,
古代文明时期的贸易大多取道水路。（　）,,选项 A ,,,,,,,
美索不达米亚最早的轮子是一些圆形的板，和轴牢牢地钉在一起。（　）,,选项 A ,,,,,,,
人类最早的工艺品是陶器。（　）,,选项 A ,,,,,,,
文字是祭司们出于记事的需要而做出的一大发明。（　）,,选项 A ,,,,,,,
随着技术的不断进步，剩余食物的不断增多，祭司们的主要工作就是主管各项宗教活动。（　）,,选项 B ,,,,,,,
城市发展的愈快，愈复杂，纯粹的宗教法令会有更大的约束力。（　）,,选项 B ,,,,,,,
大规模战争的结果，使祭司们的权力逐渐转到了世俗新贵的手上。（　）,,选项 A ,,,,,,,
史诗《好战的国王》描述了萨尔贡的经历。（　）,,选项 A ,,,,,,,
阶级分化随政治权力的集中而日益缓和。（　）,,选项 B ,,,,,,,
从部落文化到古代文明的转变是技术进步与社会变革相互作用的结果。（　）,,选项 A ,,,,,,,
当部落人口增加、对食物的需求也相应增加时，部落社会与生产率高得多的文明社会仍然可以对抗。（　）,,选项 B ,,,,,,,
在部落文明到达欧亚大陆的边缘地区时，中东核心区的部落文化正在被文明所取代。（　）,,选项 A ,,,,,,,
诸文明社会之所以会生产率更高，是因为它们是建有国家机构的阶级社会。（   ）,,选项 A ,,,,,,,
新石器时代的各种文化大同小异。（   ）,,选项 B ,,,,,,,
古代文明中的每一个都有其独特之处。（  ）,,选项 A ,,,,,,,
所有的文明都建立在血亲关系而不是纳贡关系上。（　）,,选项 B ,,,,,,,
富人们殉葬的目的除了是要反映出王室大人生前的富裕和高贵外，还为了让他们侍候死后的王室大人。（　）,,选项 A ,,,,,,,
在古代文明中，两性之间是平等的。（　）,,选项 B ,,,,,,,
新型农业为文明提供了经济基础，并没有破坏妇女在经济上的独立地位。（　）,,选项 B ,,,,,,,
男人们逐渐控制了新的农业和行业，妇女们则变得孤立起来。（　）,,选项 A ,,,,,,,
最早的美索不达米亚文明的类型是乡村类型。（　）,,选项 B ,,,,,,,
美索不达米亚文明的第一个中心是苏美尔。（　）,,选项 A ,,,,,,,
汉谟拉比以大河流域地区中部的阿卡德为基地，征服了南抵波斯湾、西达地中海的广大地区。（　）,,选项 B ,,,,,,,
汉谟拉比因制定《汉谟拉比法典》而闻名于世。（　）,,选项 A ,,,,,,,
楔形文字是用削成的三角尖头的芦苇秆当笔刻写在泥板上写成的。（　）,,选项 A ,,,,,,,
最初的楔形文字是图形符号。（　）,,选项 A ,,,,,,,
文字使人们能记录和积累各种真实的情况，世代相传，从而促进了智力的发展。（ ）,,选项 A ,,,,,,,
文字成为使人类诸文明的文化结合成一体的唯一手段。（　）,,选项 B ,,,,,,,
苏美尔人及其后继者的宗教信仰深受自然环境的影响。（　）,,选项 A ,,,,,,,
苏美尔的洪水之神叫尼诺塔。（  ）,,选项 A ,,,,,,,
美索不达米亚人通过战争来消除各种潜在的冲突。（　）,,选项 B ,,,,,,,
《汉谟拉比法典》中的同态复仇法即奉行“以眼还眼、以牙还牙”的原则。（　）,,选项 A ,,,,,,,
《汉谟拉比法典》和美索不达米亚的其他所有法典都以明确的法律术语规定了男人和女人平等的地位。（　）,,选项 B ,,,,,,,
在古巴比伦，对婚姻关系作出选择的是新娘。（　）,,选项 B ,,,,,,,
古埃及文明也是一种城市文明。（　）,,选项 B ,,,,,,,
埃及文明是稳定和开放的。（　）,,选项 B ,,,,,,,
埃及与美索不达米亚不同，没有因不时的外族入侵而引起万花筒似的帝国更换。（  ）,,选项 A ,,,,,,,
关心死亡，为来世做好物质方面的准备是埃及宗教的主要特征。（  ）,,选项 A ,,,,,,,
金字塔中以第三王朝法拉胡夫的金字塔为规模最大。（  ）,,选项 B ,,,,,,,
在古埃及，法老作为神王，他的话就是法律。（　）,,选项 A ,,,,,,,
金字塔是埃及人最著名的劳动成果。（　）,,选项 A ,,,,,,,
狮身人面的斯芬克斯像属于古巴比伦的建筑。（　）,,选项 B ,,,,,,,
古埃及人的医学文献上记述了消除皱纹和染黑灰白头发的方法。（　）,,选项 A ,,,,,,,
克里特岛上米诺斯文明的类型可以用希腊语中的“海洋文明”来总结。（　）,,选项 A ,,,,,,,
米诺斯人的海上力量非常强大，足以保护克里特岛不受侵犯。（　）,,选项 A ,,,,,,,
米诺斯王宫属于迈锡尼文明。（　）,,选项 B ,,,,,,,
克里特人建造建筑物时关心的不是其外表，而是个人的舒适。（　）,,选项 A ,,,,,,,
在克里特岛，妇女们不可以拥有财产。（　）,,选项 B ,,,,,,,
印度河流域的文明类型是保守的，具有浓厚的宗教色彩和高度的计划性。（　）,,选项 A ,,,,,,,
印度河流域是最早用棉花织布的。（　）,,选项 A ,,,,,,,
印度河文明衰落的起因和详情目前已经非常清楚。（　）,,选项 B ,,,,,,,
印度河文明是商业文明。（　）,,选项 B ,,,,,,,
摩亨左·达罗属于印度河文明。（　）,,选项 A ,,,,,,,
印度的石刻印章上多印制的是牛的图案。（　）,,选项 A ,,,,,,,
位于中国北部黄河流域的商朝文明的类型是欧亚大陆所有文明中最为与众不同的。（　）,,选项 A ,,,,,,,
中国在地理上比较封闭，完全与世界隔绝。（　）,,选项 B ,,,,,,,
中国文明不但是最古老的，也是最独特的。（　）,,选项 A ,,,,,,,
几千年来，中东人一直不能释读他们祖先的象形文字和楔形文字。（　）,,选项 A ,,,,,,,
幸存到今天的商朝文字大都发现于龟甲兽骨上。（　）,,选项 A ,,,,,,,
出土的甲骨仅仅揭示了商朝的文字。（　）,,选项 B ,,,,,,,
商朝的两性关系是平等的。（　）,,选项 B ,,,,,,,
埃及人认为，世界是由阴和阳两种相互作用、相互补充的元素的产物。（　）,,选项 B ,,,,,,,
在公元前第二个千年中，无论是在中东、印度还是遥远的中国，所有的古代文明纷纷崩溃。（　）,,选项 A ,,,,,,,
诸古代文明因内部的腐朽而虚弱不堪，所以很容易成为外来游牧民族入侵的目标。（　）,,选项 A ,,,,,,,
到公元前1100年前后，马的驯养改变了闪米特人的文化。（　）,,选项 B ,,,,,,,
中东是最早驯养动物的地方，也是最早乘骑动物的地方。（　）,,选项 A ,,,,,,,
古典时代和中世纪时，游牧民的军事才能主要建立在骑马作战的基础上。,,选项 A ,,,,,,,
冶铁技术的发明降低了游牧民的战斗力。（　）,,选项 B ,,,,,,,
公元前1100年，赫梯帝国灭亡。（　）,,选项 B ,,,,,,,
游牧民族凭借马和铁制武器，掀起了两次席卷诸文明中心的大规模的入侵浪潮。（　）,,选项 A ,,,,,,,
游牧民族第一次入侵浪潮发生在公元前1600至公元前1500年之间。（　）,,选项 B ,,,,,,,
公元前1200年前后，第二次蛮族入侵浪潮掀起。（　）,,选项 A ,,,,,,,
最早入侵希腊的印欧语系的入侵者是闪米特人。（　）,,选项 B ,,,,,,,
迈锡尼是克里特岛的中心。（　）,,选项 B ,,,,,,,
米诺斯文明到公元前1150年时，实际上已经灭绝。（　）,,选项 A ,,,,,,,
多里安人的主要据点在伯罗奔尼撒半岛。（　）,,选项 A ,,,,,,,
古希腊诗人赫希奥德主要描写了战争、冒险以及贵族和国王的生活。（　）,,选项 B ,,,,,,,
荷马主要描写了农夫的生活和知识以及众神的家谱。（　）,,选项 B ,,,,,,,
《工作与时日》是赫希奥德的作品。（　）,,选项 A ,,,,,,,
吠陀一词意为知识。（　）,,选项 A ,,,,,,,
古文献《吠陀》是印度教徒宗教信仰的主要来源。（　）,,选项 A ,,,,,,,
东周周王之所以能幸存到公元前256年，主要是因为他们提供了经济上的领导。（　）,,选项 B ,,,,,,,
东周时期政治不稳定。（　）,,选项 A ,,,,,,,
古典文明时代最明显的特点，就是欧亚大陆趋于分裂化。（　）,,选项 B ,,,,,,,
扩张是新的欧亚大陆整体化的基础。（　）,,选项 B ,,,,,,,
冶铁技术是公元前3世纪中叶在小亚细亚率先发展起来的。（　）,,选项 B ,,,,,,,
农业疆域的拓展使文明核心区的范围获得相应的扩大。（　）,,选项 A ,,,,,,,
新的铁制工具使人们能制造更大、性能更好的船舶。（　）,,选项 A ,,,,,,,
在中世纪发明有效的马具和在18世纪修筑良好的公路之前，一直以海路运输为主。（　）,,选项 A ,,,,,,,
在海外贸易发展的同时，殖民活动也随之扩张。（　）,,选项 A ,,,,,,,
有“驿道中的皇后”之称的阿庇乌大道，连接着罗马和意大利南部，至今仍在使用中。（　）,,选项 A ,,,,,,,
波斯帝国修筑的“驿道”全长1500英里。（　）,,选项 B ,,,,,,,
地区间主要的物质性联结是商业联络。（　）,,选项 A ,,,,,,,
西亚的第一部水车是在本都国王米思里代蒂统治期内诞生的。（　）,,选项 A ,,,,,,,
中国的第一部水车是约公元前20年制造的。（　）,,选项 B ,,,,,,,
海上贸易早在古代文明时期就已经开始。（　）,,选项 A ,,,,,,,
最早恢复克里特岛人的贸易活动的是雅利安人。（　）,,选项 B ,,,,,,,
在发展贸易的过程中个，腓尼基人逐渐制造出一种由好几排水手划桨的船。（   ）,,选项 A ,,,,,,,
希腊的一个主要殖民区是在西西里岛和意大利南部，称为“大希腊”。（　）,,选项 A ,,,,,,,
到公元前5世纪，整个黑海流域已为繁荣的希腊商业据点和殖民地所环绕。（　）,,选项 A ,,,,,,,
季风一词就是从希腊人的季节一词派生而来的。（　）,,选项 B ,,,,,,,
在上古时期，一个商人从罗马旅行到印度，包括陆上穿越埃及的时间，只需16个星期就够了。（　）,,选项 A ,,,,,,,
公元前2世纪以后，随着罗马帝国和中国社会动乱迭起，繁盛的路上贸易依旧繁盛。（  ）,,选项 B ,,,,,,,
希腊文化传播整个东方，主要是靠追随亚历山大军队东进的希腊商人。（　）,,选项 A ,,,,,,,
第一个字母文字系统是由西奈半岛的闪米特商人发明的。（　）,,选项 A ,,,,,,,
真正的音标文字是由希腊人完成的。（　）,,选项 B ,,,,,,,
希腊文化之所以传播整个中东，主要是因为亚历山大大帝对中亚和印度流域进行了举世闻名的东征。（　）,,选项 A ,,,,,,,
亚历山大统治下的居民都实现了希腊化。（　）,,选项 B ,,,,,,,
埃及的亚历山大港是传播希腊文化的中心之一。（   ）,,选项 A ,,,,,,,
罗马人对文明的主要贡献就在于将希腊文化据为己有，适度改变，然后传播。（　）,,选项 A ,,,,,,,
最早皈依基督教的是社会显贵。（　）,,选项 B ,,,,,,,
大乘佛教最大的胜利是在中国。（　）,,选项 A ,,,,,,,
犹太教是约公元前11世纪崇奉耶和华为民族之神的犹太人的地方性宗教。（　）,,选项 B ,,,,,,,
犹太教是多神教。（　）,,选项 B ,,,,,,,
从公元前6世纪起，犹太教徒在波斯人和其他一些统治者的宗教的影响下，改变了自己的宗教观念。（　）,,选项 A ,,,,,,,
耶稣被钉死在十字架上。（　）,,选项 A ,,,,,,,
一开始，基督教对世界各地持不同信仰的人群并没有直接的吸引力。（　）,,选项 A ,,,,,,,
399年，基督教被罗马帝国接受为国教。,,选项 A ,,,,,,,
在古代文明的数千年中，中东一直是首创精神的中心。（　）,,选项 A ,,,,,,,
佛教的创始人是穆罕默德。（　）,,选项 B ,,,,,,,
佛教的核心是四大真理。（　）,,选项 A ,,,,,,,
公元前2世纪时，佛教传入中亚和中国。（　）,,选项 B ,,,,,,,
随着公元前12世纪多里安人的入侵，希腊堕入“黑暗时代”。（　）,,选项 A ,,,,,,,
伯罗奔尼撒半岛南部的斯巴达，与希腊其他城邦发展趋向是较为一致的。（　）,,选项 B ,,,,,,,
希波战争中，希腊人特别是雅典海军的胜利，促进了民主政治的发展。（　）,,选项 A ,,,,,,,
古典时代的文明史人类智慧和精神的一个伟大胜利。（　）,,选项 A ,,,,,,,
希腊古典文明是纯粹的原始文明。（　）,,选项 B ,,,,,,,
神庙是希腊城邦文化的城市与宗教的核心。（　）,,选项 A ,,,,,,,
苏格拉底提出了“人是万物的尺度”的名言。（　）,,选项 B ,,,,,,,
希罗多德的《历史》是最早讴歌民主政体的伟大颂辞。（　）,,选项 A ,,,,,,,
元老院是古罗马的立法机关。（　）,,选项 A ,,,,,,,
经过三次布匿战争，罗马大败迦太基。（　）,,选项 A ,,,,,,,
历史学家萨卢斯特把罗马曾称之为“公共厕所”。（　）,,选项 A ,,,,,,,
公元前31年的亚克兴角海战，屋大维大败凯撒。（　）,,选项 B ,,,,,,,
罗马的公共浴室被称之为“运动俱乐部”。（　）,,选项 A ,,,,,,,
罗马皇帝君士坦丁继续执行前任皇帝对基督教疯狂镇压的政策。（　）,,选项 B ,,,,,,,
公元476年，西罗马帝国灭亡。（　）,,选项 A ,,,,,,,
西罗马帝国陷落，而东罗马帝国并没有崩溃的主要原因在于西部经济不及东部发达。（　）,,选项 A ,,,,,,,
梵文中的种姓——“瓦尔纳”一词，意即“肤色”。（　）,,选项 A ,,,,,,,
以法、因果报应和轮回转世为基本原则的种姓制度是印度宗教制度最基本的部分。（　）,,选项 A ,,,,,,,
佛教作为一种虔诚的信仰在印度仍然存在。（　）,,选项 B ,,,,,,,
阿育王使佛教成为国教。（　）,,选项 B ,,,,,,,
笈多时代是印度文明的古典时代。（　）,,选项 A ,,,,,,,
与印度文明的松散和间断相比，中国文明的特点是聚合和连续。（　）,,选项 A ,,,,,,,
铁的采用是东周时期社会发生根本变革的的原因所在。（　）,,选项 A ,,,,,,,
东周时期思想文化并不活跃。（　）,,选项 B ,,,,,,,
孔子学说之后，中国最有影响力的哲学是道家学说。（　）,,选项 A ,,,,,,,
秦朝的焚书坑儒阻抑了周时期所特有的百家争鸣的局面，预示着中国思想的黄金时代结束。（　）,,选项 A ,,,,,,,
秦长城西起临洮，东至辽东，延袤万余里。（　）,,选项 A ,,,,,,,
秦始皇在位时仍推行分封制。（　）,,选项 B ,,,,,,,
比王朝循环更根本的是经济管理的循环。（　）,,选项 A ,,,,,,,
东汉灭亡之后，中国进入了长期分裂和混乱的局面，这与西罗马帝国灭亡后的情况很相似。（　）,,选项 A ,,,,,,,
游牧民的入侵所造成的影响基本上是一样的。（　）,,选项 B ,,,,,,,
3至6世纪的入侵结束了古典文明，宣告了中世纪文明的到来。（　）,,选项 A ,,,,,,,
诸文明中心和周围游牧民之间的相互影响日益增长，是导致入侵的基本因素。（　）,,选项 A ,,,,,,,
罗马帝国的隶农制是中世纪农奴制的雏形。（　）,,选项 A ,,,,,,,
在日耳曼部落，主要权力来源于“王”。（　）,,选项 B ,,,,,,,
克洛维获得成功的最主要的原因是他皈依了基督教。（　）,,选项 A ,,,,,,,
查理·马特创立了加洛林王朝。（　）,,选项 B ,,,,,,,
文明到来不仅使经济关系，也使政治关系发生重大变化。（　）,,选项 A ,,,,,,,
明朝期间，中国的航海活动达到极盛。（　）,,选项 A ,,,,,,,
哥伦布开辟了一条环绕非洲的划时代的航线。（　）,,选项 B ,,,,,,,
中世纪诸世纪中，最重要的宗教变革是伊斯兰教的出现。（　）,,选项 A ,,,,,,,
中世纪欧亚大陆的统一，主要靠的是传教士。（　）,,选项 B ,,,,,,,
在中世纪时期，西方最重要的旅行家是著名的马可·波罗。（　）,,选项 A ,,,,,,,
比军事扩张更为引人注目的是伊斯兰教文化上的成就。（　）,,选项 A ,,,,,,,
穆罕默德的教义主要基于基督教的教义。（　）,,选项 B ,,,,,,,
中世纪时，基督教徒和伊斯兰教徒是不共戴天的死敌。（　）,,选项 A ,,,,,,,
阿巴斯王朝时期，伊斯兰教对基督教徒和犹太教徒实行完全宽容政策。（　）,,选项 B ,,,,,,,
拥有“智慧之城”美誉的城市是巴格达。（　）,,选项 A ,,,,,,,
突厥人和蒙古人的历史成就就是，他们共同改变了游牧民族与文明之间的传统关系。（　）,,选项 A ,,,,,,,
蒙古人衰败的基本原因在于，相对于被征服民族，他们人数太少。（　）,,选项 A ,,,,,,,
蒙古帝国毁灭的根本原因在于蒙古人采用了比他们更为先进的属国的语言、宗教信仰和文化，从而失去了自己的身份。（　）,,选项 A ,,,,,,,
7、8世纪，在初期扩张阶段，伊斯兰教已将地中海变成了穆斯林世界的内海。（　）,,选项 A ,,,,,,,
公元800至1200年，穆斯林世界远远超过西方。（　）,,选项 A ,,,,,,,
8世纪时的拜占廷帝国在文化上与东方的伊斯兰教和与西方的新欧洲都是相同的帝国。（　）,,选项 B ,,,,,,,
拜占廷人仍称自己为罗马人。（　）,,选项 A ,,,,,,,
同其他帝国一样，拜占廷的内部衰弱招致了外来侵略。（　）,,选项 A ,,,,,,,
1453年，拜占廷帝国灭亡。（　）,,选项 A ,,,,,,,
拜占廷文明是原始的、无足轻重的。（　）,,选项 B ,,,,,,,
隋唐继承了汉文化，使中国文明继续沿着传统的道路发展。（　）,,选项 A ,,,,,,,
唐朝最明显的成就就是扩张。（　）,,选项 A ,,,,,,,
1905年，科举制被废除。（　）,,选项 A ,,,,,,,
在唐朝，中国首次出现了以行政管理为中心的大城市。（　）,,选项 B ,,,,,,,
隋朝最早使用纸币。（　）,,选项 B ,,,,,,,
朱熹评注的儒家经典成为文职人员考试的根据。（　）,,选项 A ,,,,,,,
5世纪起，中国文明大规模传入日本。（　）,,选项 B ,,,,,,,
645年大化改新所引进的中国的帝国体制，在一个很长的时期内有效地起作用。（　）,,选项 A ,,,,,,,
封建制度是一种政体。（　）,,选项 A ,,,,,,,
地理因素是促使欧洲在中世纪遥遥领先于其他地区的重要因素。（　）,,选项 A ,,,,,,,
基督教的人道主义伦理，对西方技术的发展没有任何促进作用。（　）,,选项 B ,,,,,,,
欧洲君主们的新力量，在很大程度上源于他们与新兴商人阶层的非正式联盟。（　）,,选项 A ,,,,,,,
文艺复兴运动首先在意大利开始。（　）,,选项 A ,,,,,,,
文艺复兴时期的学校课程注重的是古典作品研究和体育运动，其宗旨是要教育学生们快乐、健康地生活，成为有责任感的公民。（　）,,选项 A ,,,,,,,
在奥斯曼帝国，穆斯林学院注重神学、法学和修辞学，也重视天文学、数学和医学。（　）,,选项 B ,,,,,,,
舍勒比看到了欧洲的知识进步与海外扩张之间的联系。（　）,,选项 A ,,,,,,,
在促使欧洲人开始海外冒险事业的许多动机中，为上帝服务和寻求黄金并不是最强烈的动机。（　）,,选项 B ,,,,,,,
造船方面的进步总是同航海技术的进步携手并进。（　）,,选项 A ,,,,,,,
伊斯兰世界的扩张，使得欧亚大陆东端的中国人和西端的欧洲人愈来愈联系紧密。（　）,,选项 B ,,,,,,,
女性在西方新文明中的地位主要由天主教会和封建制度这两种制度决定。（　）,,选项 A ,,,,,,,
女修道院提供了女性除了婚姻生活以外的另外一种选择。（　）,,选项 A ,,,,,,,
中世纪妇女肩负与男性同样的重担和责任，也享受着同样的平等权利。（　）,,选项 B ,,,,,,,
在欧亚大陆长达千年的中世纪历史上，最惊人、最重要的发展是西欧从贫穷的状态中崛起。（　）,,选项 A ,,,,,,,
在这样一个不断加速变革的时期，适应能力对个人和民族的成功来说至关重要。（　）,,选项 A ,,,,,,,
非洲时常被人为地划分为北非和撒哈拉沙漠以南的非洲。（　）,,选项 A ,,,,,,,
人们时常认为，非洲的技术和农业是从欧亚大陆引进的。（　）,,选项 A ,,,,,,,
非洲的技术进步对这块大陆的种族成分没有受到影响。（　）,,选项 B ,,,,,,,
在东非，阿拉伯人从印度引进了水稻和甘蔗。（　）,,选项 A ,,,,,,,
最早与横贯撒哈拉沙漠的贸易的发展联系在一起的是加纳帝国。（　）,,选项 A ,,,,,,,
1500年以前，世界的欧亚大陆与非欧亚大陆部分之间没有什么交往。（　）,,选项 A ,,,,,,,
在欧洲扩张之前，非洲是与世隔绝的。（　）,,选项 B ,,,,,,,
西方与非洲之间的差距比西方与欧亚大陆其他地区之间的差距要大得多。（　）,,选项 A ,,,,,,,
15世纪，麦哲伦发现了美洲大陆。（　）,,选项 B ,,,,,,,
11世纪，维京人发现了北美洲。（　）,,选项 A ,,,,,,,
就种族特征而论，所有印第安人都可以归类为白种人。（　）,,选项 B ,,,,,,,
迁居美洲大陆的移民文化水平很高。（　）,,选项 B ,,,,,,,
印第安人培植了100多种植物。（　）,,选项 A ,,,,,,,
玛雅人创造了南北美洲最古老的文明。（　）,,选项 A ,,,,,,,
关于玛雅文明衰落的原因尚不清楚。（　）,,选项 A ,,,,,,,
阿兹特克人的力量建立在持久备战的基础上。（　）,,选项 A ,,,,,,,
献祭仪式在中美洲很少见。（　）,,选项 B ,,,,,,,
西班牙入侵美洲单方面取得胜利的原因，最终应归于南北美洲的与世隔绝。（　）,,选项 A ,,,,,,,
在2500年中，没有任何可靠的证据可证明中美洲文明和秘鲁文明之间存在着相互影响。（　）,,选项 A ,,,,,,,
美洲印第安人不缺乏击退欧洲人的技术和内聚力。（　）,,选项 B ,,,,,,,
由于印第安人在数万年前渡过白令海峡之后没再与其他欧洲大陆诸民族有任何联系，所以他们在生物上变得很容易受欧洲人及其非洲奴隶所带来的天花等疾病的伤害。（　）,,选项 A ,,,,,,,
美国所有的农产品都源于原先由印第安人培育的植物。（　）,,选项 B ,,,,,,,
澳大利亚是世界上最早与世隔绝的大陆。（　）,,选项 A ,,,,,,,
前古典时期和中世纪时期都是以游牧民的海上侵略为开端的。（　）,,选项 B ,,,,,,,
近代是以西方人的海上侵略拉开序幕的。（　）,,选项 A ,,,,,,,
在近代，西方人的海上优势遭到了挑战。（　）,,选项 B ,,,,,,,
当西欧人开始探险航行时，他们发现散居世界各地的诸民族处于完全不同的发展水平。（　）,,选项 A ,,,,,,,
有些种族生来是劣等民族。（　）,,选项 B ,,,,,,,
随着欧洲的海外扩张以及随后的对美洲印第安人和非洲人的征服和奴役，种族主义成为能为这些行为辩护的理论说明。（　）,,选项 A ,,,,,,,
公元1500年以后西方人对全球的统治，意味着西方人的基因优势。（　）,,选项 B ,,,,,,,
不管在什么时期，“落后”都意味着容易遭受攻击。（　）,,选项 A ,,,,,,,
斯塔夫里阿诺斯认为，研究世界史应从（  ）这一年开始。,,选项 B ,,,,,,,
阿拉伯半岛上穆斯林的宗教领袖是（  ）。,,选项 C ,,,,,,,
用来指导穆斯林行为规范的伊斯兰教的唯一经典是（   ）。,,选项 C ,,,,,,,
伊斯兰教的创立者穆罕默德去世是在公元（  ）。,,选项 D ,,,,,,,
1500年左右占地最为广阔的是（  ）。,,选项 A ,,,,,,,
1529年，奥斯曼土耳其人围攻哈布斯堡帝国的首都（  ）。,,选项 B ,,,,,,,
约1500年前后穆斯林世界的三大帝国不包括（  ）。,,选项 A ,,,,,,,
约1500年前后的穆斯林世界，地跨欧亚非三大洲的是（   ）帝国。,,选项 C ,,,,,,,
